,address,price,url,lat,lng,beds
0, Bakers Ferry Rd #3,"9,900",30331,33.7103,-84.5341,0
1, Bakers Ferry Rd #4,"9,900",30331,33.7103,-84.5341,0
2, Bakers Ferry Rd #4,"9,900",30331,33.70411,-84.54712,0
3, Bakers Ferry Rd #3,"9,900",30331,33.70411,-84.54712,0
0, Lake Valley Rd,"15,000",30331,33.7101,-84.5341,0
1,4525 Spring Valley Pkwy,"15,000",30349,33.631996,-84.50346,0
2,1425 Joseph E Boone Blvd NW #A101,"17,500",30314,33.76372,-84.43361,2
3,2560 Niskey Lake Rd SW #7,"14,900",30331,33.684868,-84.52627,0
4,3975 Oglesby Rd,"13,995",30349,33.602783,-84.51822,2
5, Niskey Lake Rd SW #A,"15,000",30331,33.7103,-84.5341,0
6, Gwendoline Dr,"19,500",30349,33.6152,-84.5053,0
7, Perimeter Hwy,"10,000",30331,33.7102,-84.5341,0
8,718 Camelot Dr,"19,282",30349,33.603027,-84.47514,2
9,4515 Spring Valley Pkwy,"16,000",30349,33.632202,-84.50342,0
10, White City Rd #1,"15,000",30337,33.6432,-84.4574,0
11,2560 Niskey Lake Rd SW,"14,900",30331,33.684868,-84.52627,2
0,10 Hemlock Cir SE,"22,999",30316,33.741932,-84.35154,0
1,1358 Shoreham Dr #15,"22,000",30349,33.614277,-84.433716,0
2,1018 Thomasville Estate Ct,"25,000",30315,33.6947,-84.3554,0
3, Enon Rd,"29,000",30331,33.7101,-84.5341,0
4,1018 Thomasville Estate Ct,"25,000",30315,33.6947,-84.3554,0
5,26 Pine Cone Ct,"29,900",30349,33.568092,-84.48152,3
6, Waits Ave #14,"25,000",30331,33.7101,-84.5341,0
7,293 Fairburn Rd NW,"25,000",30331,33.763172,-84.5017,0
8,293 Fairburn Rd NW,"25,000",30331,33.763172,-84.5017,0
9, Meldon Ave SW,"25,000",30315,33.678116,-84.34651,0
10,820 Tallulah Ct #46,"29,900",30349,33.591526,-84.52792,0
11, Fairburn Ave #44,"20,000",30331,33.7102,-84.5341,0
12,140 Mount Zion Rd SE #28,"29,900",30354,33.673035,-84.38422,2
13,736 Cedar Ave NW,"29,999",30318,33.77515,-84.465256,3
14,146 Dahlia Ave NW,"25,000",30314,33.758045,-84.46245,0
15,216 Camelot Dr,"23,000",30349,33.603756,-84.47459,1
16, Meldon Ave,"25,000",30315,33.7067,-84.3851,0
17,3434 Concord Loop,"25,000",30349,33.665363,-84.63011,0
18,7425 Thoreau Cir,"25,000",30349,33.663666,-84.631386,0
19, Laurel Green Way,"22,500",30344,33.6753,-84.4552,0
20, Laurel Green Way Land #94,"22,500",30344,33.675,-84.4552,0
21, Laurel Green Way Land #93,"22,500",30344,33.675,-84.4552,0
22,215 Camelot Dr,"23,900",30349,33.603756,-84.47459,1
23, Waits Ave,"25,000",30331,33.7101,-84.5341,0
24, Fairburn Ave #42,"20,000",30331,33.7102,-84.5341,0
25,1520 Camelot Dr #1,"25,900",30349,33.602116,-84.47537,2
26, Fairburn Ave #43,"20,000",30331,33.7102,-84.5341,0
27,1520 Camelot Dr,"25,900",30349,33.602116,-84.47537,2
28,3164 Esplanade Cir SW #26,"20,000",30311,33.703693,-84.495415,0
29,3138 Esha Ct SW #36,"20,000",30311,33.703808,-84.493,0
30,3170 Esplanade Cir SW #28,"20,000",30311,33.70326,-84.49458,0
31,3167 Esplanade Cir SW #56,"20,000",30311,33.703796,-84.4945,0
32,3137 Esha Ct SW #32,"20,000",30311,33.703228,-84.493645,0
33,3159 Esplanade Cir SW #58,"20,000",30311,33.70413,-84.494865,0
34,3102 Esplanade Cir SW #38,"20,000",30311,33.704037,-84.49321,0
35,3138 Esplanade Cir SW #13,"20,000",30311,33.706383,-84.49475,0
36,3166 Esplanade Cir SW #27,"20,000",30311,33.703384,-84.495224,0
37,3162 Esplanade Cir SW #25,"20,000",30311,33.703938,-84.49551,0
38,3159 Summit Crst SW #82,"20,000",30311,33.70509,-84.49422,0
39,3157 Esplanade Cir SW #59,"20,000",30311,33.70433,-84.49498,0
40,3154 Esplanade Cir SW #21,"20,000",30311,33.705013,-84.49555,0
41,3101 Esplanade Cir SW #47,"20,000",30311,33.70423,-84.4938,0
42,3119 Esplanade Cir SW #74,"20,000",30311,33.705524,-84.4934,0
43, Shadydale Ave,"20,000",30315,33.7066,-84.3851,0
44,4000 Reeves St,"22,500",30349,33.62526,-84.51741,0
45,1465 Willingham Dr,"22,000",30344,33.668503,-84.436714,0
46,4000 Reeves St,"22,500",30349,33.62526,-84.51741,0
47,235 Fairburn Rd NW,"20,000",30331,33.761696,-84.503334,3
48, Monica Ct,"25,000",30311,33.7238,-84.4745,0
49,1405 Oakland Dr SW,"29,900",30310,33.716595,-84.42783,0
50,2990 Stone Rd,"24,900",30344,33.66683,-84.4866,0
51,2990 Stone Rd #4,"24,900",30344,33.666836,-84.48661,0
52, Sweetbriar Cir #11,"24,900",30344,33.6753,-84.4552,0
53, Sweetbriar Cir #13,"24,900",30344,33.6753,-84.4552,0
54, Sweetbriar Cir #12,"24,900",30344,33.6753,-84.4552,0
55,16 Conley Rd,"29,998",30354,33.6425,-84.388985,0
56,4089 Waits Ave SW #32,"22,500",30331,33.693214,-84.523254,0
57, Meldon Ave,"25,000",30315,33.7066,-84.3852,0
58, Hammarskjold Dr,"29,000",30344,33.6752,-84.4553,0
59,540 Accent Way SW #106,"22,500",30349,33.660595,-84.57629,0
60,530 Accent Way SW #107,"22,500",30349,33.66041,-84.57601,0
61,520 Accent Way SW #108,"22,500",30349,33.66049,-84.575676,0
62,770 Jefferson Ave SW,"28,000",30315,33.68509,-84.41361,0
63,4435 Robin Ln,"25,500",30349,33.633778,-84.53989,0
64,4445 Robin Ln,"25,500",30349,33.634052,-84.53989,0
65,4016 Melvin Dr SW,"29,900",30331,33.707874,-84.51985,0
66,4012 Melvin Dr SW,"29,900",30331,33.70785,-84.51953,0
67,770 Jefferson Ave SW,"28,000",30315,33.68509,-84.41361,0
68,3930 Renaissance Cir,"25,000",30349,33.66331,-84.634346,0
69, Fairburn Ave,"20,000",30331,33.7101,-84.5341,0
70,520 Accent Way SW #108,"25,000",30349,33.66049,-84.575676,0
71,530 Accent Way SW #107,"25,000",30349,33.66041,-84.57601,0
72,540 Accent Way SW #106,"25,000",30349,33.660595,-84.57629,0
0,11 Baker Dr SW,"30,000",30354,33.67667,-84.39466,3
1, Lake Valley Rd,"35,000",30331,33.7101,-84.5341,0
2, Carriage Way,"35,000",30337,33.627396,-84.447014,0
3, Carriage Way Dr #23,"35,000",30337,33.627396,-84.447014,0
4, Milner Dr,"35,000",30337,33.627396,-84.447014,0
5,5870 Old Bill Cook Rd,"39,900",30349,33.595787,-84.4912,2
6,1515 Camelot Dr,"39,500",30349,33.602116,-84.47537,2
7,5646 Boreal Way SW #101,"30,000",30331,33.68767,-84.56708,0
8,5426 Boreal Way SW #213,"35,000",30331,33.68927,-84.56315,0
9,5413 Spelman Dr SW #216,"30,000",30331,33.689034,-84.56269,0
10,5576 Boreal Way SW #106,"30,000",30331,33.68889,-84.56699,0
11,1-01 Marktrey Pl,"35,000",30318,33.7906,-84.44,0
