address,zipcode,lat,lng,beds,price,Restau,crime,scaleprice,scalefood,scalecrime
Bakers Ferry Rd #3,30331,33.7103,-84.5341,0,9900,49,6204,-0.6908857387389709,-1.504221276228307,0.7996153408319794
Bakers Ferry Rd #4,30331,33.7103,-84.5341,0,9900,49,6204,-0.6908857387389709,-1.504221276228307,0.7996153408319794
Lake Valley Rd,30331,33.7101,-84.5341,0,15000,49,6204,-0.6844070535486337,-1.504221276228307,0.7996153408319794
1425 Joseph E Boone Blvd NW #A101,30314,33.76372,-84.43361,2,17500,939,4681,-0.6812312274749391,0.5618500330019459,0.30203504000499903
2560 Niskey Lake Rd SW #7,30331,33.684868,-84.52627,0,14900,49,6204,-0.6845340865915815,-1.504221276228307,0.7996153408319794
Niskey Lake Rd SW #A,30331,33.7103,-84.5341,0,15000,49,6204,-0.6844070535486337,-1.504221276228307,0.7996153408319794
Perimeter Hwy,30331,33.7102,-84.5341,0,10000,49,6204,-0.6907587056960232,-1.504221276228307,0.7996153408319794
2560 Niskey Lake Rd SW,30331,33.684868,-84.52627,2,14900,49,6204,-0.6845340865915815,-1.504221276228307,0.7996153408319794
10 Hemlock Cir SE,30316,33.741932,-84.35154,0,22999,365,2212,-0.6742456804432404,-0.7706498900297003,-0.5046135238438615
1018 Thomasville Estate Ct,30315,33.6947,-84.3554,0,25000,361,6783,-0.6717037492538551,-0.7799356037790497,0.9887807999119673
Enon Rd,30331,33.7101,-84.5341,0,29000,49,6204,-0.6666224275359437,-1.504221276228307,0.7996153408319794
Waits Ave #14,30331,33.7101,-84.5341,0,25000,49,6204,-0.6717037492538551,-1.504221276228307,0.7996153408319794
293 Fairburn Rd NW,30331,33.763172,-84.5017,0,25000,49,6204,-0.6717037492538551,-1.504221276228307,0.7996153408319794
Meldon Ave SW,30315,33.678116,-84.34651,0,25000,361,6783,-0.6717037492538551,-0.7799356037790497,0.9887807999119673
Fairburn Ave #44,30331,33.7102,-84.5341,0,20000,49,6204,-0.6780554014012444,-1.504221276228307,0.7996153408319794
140 Mount Zion Rd SE #28,30354,33.673035,-84.38422,2,29900,449,1621,-0.6654791301494136,-0.5756499012933618,-0.6976995105731756
736 Cedar Ave NW,30318,33.77515,-84.465256,3,29999,403,11424,-0.6653533674368953,-0.6824356094108804,2.5050448682888655
146 Dahlia Ave NW,30314,33.758045,-84.46245,0,25000,939,4681,-0.6717037492538551,0.5618500330019459,0.30203504000499903
Meldon Ave,30315,33.7067,-84.3851,0,25000,361,6783,-0.6717037492538551,-0.7799356037790497,0.9887807999119673
Laurel Green Way,30344,33.6753,-84.4552,0,22500,482,27,-0.6748795753275498,-0.49904276286122884,-1.218476266658669
Laurel Green Way Land #94,30344,33.675,-84.4552,0,22500,482,27,-0.6748795753275498,-0.49904276286122884,-1.218476266658669
Laurel Green Way Land #93,30344,33.675,-84.4552,0,22500,482,27,-0.6748795753275498,-0.49904276286122884,-1.218476266658669
Waits Ave,30331,33.7101,-84.5341,0,25000,49,6204,-0.6717037492538551,-1.504221276228307,0.7996153408319794
Fairburn Ave #42,30331,33.7102,-84.5341,0,20000,49,6204,-0.6780554014012444,-1.504221276228307,0.7996153408319794
Fairburn Ave #43,30331,33.7102,-84.5341,0,20000,49,6204,-0.6780554014012444,-1.504221276228307,0.7996153408319794
3164 Esplanade Cir SW #26,30311,33.703693,-84.495415,0,20000,171,5201,-0.6780554014012444,-1.2210070068731487,0.4719245714757999
3138 Esha Ct SW #36,30311,33.703808,-84.493,0,20000,171,5201,-0.6780554014012444,-1.2210070068731487,0.4719245714757999
