Name,zip_code
Poor Calvin's,30308
Deasy's Of Ring,
Hattie B's Hot Chicken - Atlanta,30307
The Hungry Peach,30305
Aviva by Kameel,30303
Two Urban Licks,30306
Atlanta Breakfast Club,30313
South City Kitchen Buckhead,30326
EATaliano Kitchen,30329
South City Kitchen Midtown,30309
Seven Lamps,30326
Holeman & Finch,30309
Blossom Tree,30303
Slutty Vegan,30310
Mary Mac's Tea Room,30308
Home Grown,30316
Fox Bros. Bar-B-Q,30307
The Vortex Bar And Grill - Midtown,30309
Heirloom Market BBQ,30339
26 Thai Kitchen & Bar,30324
Urban Wu,30305
Waikikie Hawaiian BBQ,30329
Sweet Georgia's Juke Joint,30303
Gus's World Famous Fried Chicken,30303
Bar.bacoa,30306
The Optimist,30318
Jinya Ramen Bar,30342
Gunshow,30316
Der Biergarten,30313
BoccaLupo,30307
Dat Fire Jerk Chicken,30313
BeetleCat,30307
Grindhouse Killer Burgers,30324
Fat Matt's Rib Shack,30324
5Church Atlanta,30361
The General Muir,30329
Antico Pizza,30318
Black Bear Tavern,30309
Eight Sushi Lounge,30318
Buttermilk Kitchen,30342
JCT Kitchen & Bar,30318
True Food Kitchen,30326
Bones,30305
Lazy Betty,30307
Ammazza,30312
Busy Bee Cafe,30314
Desta Ethiopian Kitchen,30329
King + Duke,30305
Twisted Soul Cookhouse & Pours,30318
La Pastorcita,30329
Canoe,30339
Roasters,30324
Bacchanalia,30318
Marcel,30318
bartaco,30318
Valenza,30319
Loca Luna,30306
Eclipse Di Luna,30324
Umi,30305
Barcelona Inman Park,30307
Pho Dai Loi 2,30345
Steamhouse Lounge,30309
Alma Cocina,30303
Amalfi Pizza,30303
Grub Burger Bar,30329
The Food Shoppe,30303
Whiskey Bird,30306
Rreal Tacos,30308
Superica,30307
Superica,30342
Delia's Chicken Sausage Stand,30318
Chama Gaucha Brazilian Steakhouse,30305
Staplehouse,30312
"Tom, Dick & Hank",30312
gusto!,30309
Murphy's,30306
La Tavola Trattoria,30306
Mushi Ni,30316
Ginya Izakaya,30318
Chong Qing Hot Pot,30341
Papi's Cuban & Caribbean Grill,30308
Eats,30308
We Suki Suki,30316
Pasta Da Pulcinella,30309
Bon Ton,30308
Cafe Intermezzo,30309
Saltyard,30309
Tanaka Ramen,30319
Cypress Street Pint & Plate,30308
Twin Smokers BBQ,30313
Mirko Pasta,30342
Truva Turkish Kitchen,30303
Bun Mi Vietnamese Grill,30309
Le Fat,30318
Taqueria Del Sol,30324
Bulla Gastrobar,30309
Tannour Mediterranean Grill,30318
Sotto Sotto,30307
Nuevo Laredo Cantina,30318
Little Bangkok,30324
Gaja Korean Bar,30316
La Grotta Ristorante Italiano,30305
Publico Kitchen & Tap,30309
Bocado,30318
Hsu's Atlanta,30303
Hankook Taqueria,30318
Char Korean Bar & Grill,30307
